Name,Profession,Gender,Age,Birth_City,Birth_State,Nationality,Status
Tom Hanks,Actor,Male,68,Concord, California,American,Alive
Oprah Winfrey,TV Host/Producer,Female,71,Kosciusko, Mississippi,American,Alive
Elon Musk,Entrepreneur,Male,53,Pretoria, South Africa,American,Alive
Serena Williams,Tennis Player,Female,43,Saginaw, Michigan,American,Alive
Barack Obama,Politician,Male,63,Honolulu, Hawaii,American,Alive
Taylor Swift,Singer/Songwriter,Female,35,Reading, Pennsylvania,American,Alive
LeBron James,Basketball Player,Male,40,Akron, Ohio,American,Alive
Meryl Streep,Actress,Female,75,Summit, New Jersey,American,Alive
Bill Gates,Entrepreneur,Male,69,Seattle, Washington,American,Alive
Beyoncé Knowles,Singer,Female,43,Houston, Texas,American,Alive
Stephen Spielberg,Film Director,Male,78,Cincinnati, Ohio,American,Alive
Kamala Harris,Politician,Female,60,Oakland, California,American,Alive
Jeff Bezos,Entrepreneur,Male,61,Albuquerque, New Mexico,American,Alive
Lady Gaga,Singer/Actress,Female,38,New York, New York,American,Alive
Tom Brady,Football Player,Male,47,San Mateo, California,American,Alive
Sandra Bullock,Actress,Female,60,Arlington, Virginia,American,Alive
Neil Armstrong,Astronaut,Male,82,Wapakoneta, Ohio,American,Dead
Michelle Obama,Author/Advocate,Female,61,Chicago, Illinois,American,Alive
Mark Zuckerberg,Entrepreneur,Male,40,White Plains, New York,American,Alive
Angelina Jolie,Actress/Filmmaker,Female,49,Los Angeles, California,American,Alive
Robert Downey Jr.,Actor,Male,59,New York, New York,American,Alive
Natalie Portman,Actress,Female,43,Jerusalem, Israel,American,Alive
Samuel L. Jackson,Actor,Male,76,Washington, D.C.,American,Alive
Nicki Minaj,Singer,Female,42,Port of Spain, Trinidad and Tobago,American,Alive
Matthew McConaughey,Actor,Male,55,Uvalde, Texas,American,Alive
John Cena,Wrestler/Actor,Male,47,West Newbury, Massachusetts,American,Alive
Marilyn Monroe,Actress,Female,36,Los Angeles, California,American,Dead
Leonardo DiCaprio,Actor,Male,50,Los Angeles, California,American,Alive
Jennifer Lopez,Singer/Actress,Female,55,The Bronx, New York,American,Alive
Dwayne Johnson,Actor/Wrestler,Male,52,Hayward, California,American,Alive
Kanye West,Rapper/Producer,Male,47,Atlanta, Georgia,American,Alive
Ellen DeGeneres,TV Host/Comedian,Female,67,Metairie, Louisiana,American,Alive
George Clooney,Actor/Director,Male,63,Lexington, Kentucky,American,Alive
Brad Pitt,Actor,Male,61,Shawnee, Oklahoma,American,Alive
Julia Roberts,Actress,Female,57,Smyrna, Georgia,American,Alive
Will Smith,Actor/Rapper,Male,56,Philadelphia, Pennsylvania,American,Alive
Adele,Singer,Female,36,London, England,American,Alive
Johnny Depp,Actor,Male,61,Owensboro, Kentucky,American,Alive
Hillary Clinton,Politician,Female,77,Chicago, Illinois,American,Alive
Morgan Freeman,Actor,Male,87,Memphis, Tennessee,American,Alive
Denzel Washington,Actor,Male,70,Mount Vernon, New York,American,Alive
Madonna,Singer/Actress,Female,66,Bay City, Michigan,American,Alive
Chris Hemsworth,Actor,Male,41,Melbourne, Australia,American,Alive
Scarlett Johansson,Actress,Female,40,New York, New York,American,Alive
